"date","obs","click_bool","booking_bool","gross_bookings_usd"
"2013-03-13",47841,2231,1338,507517.93
"2013-03-14",47797,2182,1322,501655.65
"2013-03-15",43627,2013,1262,475625.56
"2013-03-16",36284,1624,1027,393706.55
"2013-03-17",46132,2091,1292,527765.41
"2013-03-18",51642,2308,1431,565644.77
"2013-03-19",48447,2172,1348,539211.89
"2013-03-20",50738,2292,1429,505533.56
"2013-03-21",44928,2006,1185,417465.99
"2013-03-22",41828,1882,1182,438295.56
"2013-03-23",36377,1581,1033,358126.34
"2013-03-24",45543,2043,1244,485434.69
"2013-03-25",48151,2129,1223,431665.06
"2013-03-26",50323,2282,1322,477296.36
"2013-03-27",47308,2167,1327,517052.4
"2013-03-28",45141,1977,1319,517146.02
"2013-03-29",38200,1682,1082,447356.64
"2013-03-30",29161,1324,814,305800.17
"2013-03-31",34317,1529,978,373540.05
"2013-04-01",49462,2234,1346,492617.59
"2013-04-02",50843,2268,1389,544977.15
"2013-04-03",51446,2275,1403,536777.17
"2013-04-04",46959,2135,1344,518630.14
"2013-04-05",41874,1857,1243,450753.64
"2013-04-06",34040,1519,948,387031.97
"2013-04-07",40140,1790,1106,415146.98
"2013-04-08",46904,2099,1269,488789.65
"2013-04-09",48268,2140,1321,529902.87
"2013-04-10",47024,2133,1330,515864.65
"2013-04-11",44944,2028,1270,482069.81
"2013-04-12",40025,1763,1160,445086.16
"2013-04-13",34134,1570,947,374815.82
"2013-04-14",38214,1718,1049,447142.78
"2013-04-15",44235,1966,1261,470498.69
"2013-04-16",46213,2121,1287,507949.3
"2013-04-17",48104,2171,1379,535160.26
"2013-04-18",44203,2016,1250,459443.09
"2013-04-19",39345,1799,1115,434278.45
"2013-04-20",31878,1452,870,331387.24
"2013-04-21",41038,1879,1105,434978.04
"2013-04-22",49050,2256,1394,625066.67
"2013-04-23",42944,1953,1183,450402.11
"2013-04-24",47556,2083,1377,527555.96
"2013-04-25",38990,1801,1080,394665.94
"2013-04-26",41270,1845,1170,471527.99
"2013-04-27",29557,1337,839,317469.22
"2013-04-28",36835,1671,1010,412200.21
"2013-04-29",48742,2188,1369,567848.25
"2013-04-30",47564,2142,1355,532470.58
"2013-05-01",50413,2239,1371,514496.3
"2013-05-02",46840,2135,1347,531998.57
"2013-05-03",30759,1396,912,363684.62
"2013-05-04",31741,1427,930,496967.97
"2013-05-05",38795,1786,1131,423951.33
"2013-05-06",49621,2218,1362,538885.9
"2013-05-07",51328,2309,1454,768544.91
"2013-05-08",48606,2131,1397,530715.21
"2013-05-09",47412,2150,1337,515835.29
"2013-05-10",40331,1796,1136,425031.95
"2013-05-11",32483,1572,970,394238.02
"2013-05-12",37878,1700,1078,457623.79
"2013-05-13",53127,2403,1502,578142.24
"2013-05-14",49086,2249,1429,554491.39
"2013-05-15",51590,2299,1471,586394.2
"2013-05-16",47936,2199,1386,525758.09
"2013-05-17",43545,2037,1292,526834.79
"2013-05-18",33643,1586,969,391664.78
"2013-05-19",43238,2019,1229,676744.89
"2013-05-20",54044,2498,1577,578110.97
"2013-05-21",51587,2373,1476,565754.12
"2013-05-22",53662,2500,1533,564683.57
"2013-05-23",47774,2152,1379,527624.59
"2013-05-24",44330,2055,1311,462577.87
"2013-05-25",33599,1541,1001,390564
"2013-05-26",36897,1650,1016,406226.16
"2013-05-27",46287,2112,1319,513852.52
"2013-05-28",54285,2492,1488,561947.81
"2013-05-29",51385,2320,1459,591207.94
"2013-05-30",49412,2224,1382,511525.11
"2013-05-31",45408,2090,1306,499422.11
"2013-06-01",35556,1639,988,360805.79
"2013-06-02",44510,2045,1273,469474.78
"2013-06-03",54303,2469,1554,643174.23
"2013-06-04",53807,2420,1517,554297.05
"2013-06-05",55034,2473,1610,633835.84
"2013-06-06",48927,2187,1412,535370.81
"2013-06-07",45272,2065,1286,498763.75
"2013-06-08",36695,1732,1093,408337.94
"2013-06-09",43179,1988,1244,513285.8
"2013-06-10",55519,2504,1593,648406.79
"2013-06-11",55205,2493,1588,720671
"2013-06-12",54913,2511,1552,612479.62
"2013-06-13",51605,2320,1481,570120.91
"2013-06-14",45664,2088,1355,515382
"2013-06-15",34846,1617,1034,426635.41
"2013-06-16",43511,2009,1248,490375.88
"2013-06-17",59427,2696,1686,646981.66
"2013-06-18",57080,2550,1620,630629.3
"2013-06-19",54402,2460,1554,556163.65
"2013-06-20",54959,2513,1554,578599.23
"2013-06-21",51304,2271,1412,499828.76
"2013-06-22",39966,1765,1117,400153.46
"2013-06-23",48822,2194,1321,490519.56
"2013-06-24",57889,2588,1618,636471.97
"2013-06-25",57457,2537,1623,652277.19
"2013-06-26",59812,2712,1724,677723.33
"2013-06-27",49898,2229,1406,505529.48
"2013-06-28",47876,2080,1403,502407.42
"2013-06-29",36284,1602,1088,439591.95
"2013-06-30",43961,1941,1285,531130.52
