"date","hour","obs","click_bool","booking_bool","gross_bookings_usd"
"2012-11-08","00",582,26,14,8514.31
"2012-11-08","01",625,36,17,5466.13
"2012-11-08","02",176,9,2,2424.89
"2012-11-08","03",542,20,13,3989.48
"2012-11-08","04",686,27,19,5687.86
"2012-11-08","05",718,27,18,5195.79
"2012-11-08","06",1259,73,42,17426.09
"2012-11-08","07",1332,62,37,9778.85
"2012-11-08","08",1664,73,45,11072.83
"2012-11-08","09",2347,99,58,19070.2
"2012-11-08","10",2531,107,67,27315.29
"2012-11-08","11",1964,95,58,16724.38
"2012-11-08","12",2983,143,85,29537.4
"2012-11-08","13",2082,87,61,20524.23
"2012-11-08","14",1960,83,56,20299.71
"2012-11-08","15",1473,71,50,20215.59
"2012-11-08","16",2262,93,62,20416.99
"2012-11-08","17",2491,107,67,28181.14
"2012-11-08","18",2678,121,73,23107.72
"2012-11-08","19",2203,100,57,17558.64
"2012-11-08","20",2172,97,64,19352.66
"2012-11-08","21",1694,82,46,13718.07
"2012-11-08","22",1003,42,26,10675.34
"2012-11-08","23",938,51,25,8162.44
"2012-11-09","00",392,16,12,5044.26
"2012-11-09","01",317,15,10,2216.66
"2012-11-09","02",149,8,5,1431.53
"2012-11-09","03",215,15,9,6752.92
"2012-11-09","04",501,23,15,4439.27
"2012-11-09","05",632,27,18,3799.74
"2012-11-09","06",987,51,30,10446.62
"2012-11-09","07",1286,53,35,13757.03
"2012-11-09","08",1658,86,49,27827.41
"2012-11-09","09",1930,84,54,21505.8
"2012-11-09","10",1953,89,57,28069.1
"2012-11-09","11",2499,123,76,28941.5
"2012-11-09","12",2478,103,81,25522.2
"2012-11-09","13",1946,77,56,14485.3
"2012-11-09","14",2283,96,58,14912.78
"2012-11-09","15",2205,96,62,26719.12
"2012-11-09","16",2029,85,66,25021.41
"2012-11-09","17",1873,95,52,17741.9
"2012-11-09","18",1748,75,53,18559.9
"2012-11-09","19",1886,83,58,19857.5
"2012-11-09","20",1222,66,27,15410.09
"2012-11-09","21",1340,67,38,15432.28
"2012-11-09","22",1122,56,31,11254.98
"2012-11-09","23",590,24,21,7155.75
"2012-11-10","00",432,32,14,8029.91
"2012-11-10","01",539,23,10,2840.58
"2012-11-10","02",220,11,6,2048.07
"2012-11-10","03",250,9,7,2840.63
"2012-11-10","04",291,13,8,4550.76
"2012-11-10","05",532,26,16,3698.53
"2012-11-10","06",854,31,23,5126.92
"2012-11-10","07",1062,48,36,9830.81
"2012-11-10","08",1273,57,44,10873.42
"2012-11-10","09",1542,76,41,12761.82
"2012-11-10","10",1392,65,43,15913.58
"2012-11-10","11",1774,68,46,18289.72
"2012-11-10","12",1686,81,49,19030.92
"2012-11-10","13",1391,58,39,17654.55
"2012-11-10","14",1296,64,37,10532.26
"2012-11-10","15",1709,84,50,16413.14
"2012-11-10","16",1475,67,39,19878.38
"2012-11-10","17",1684,71,42,20988.49
"2012-11-10","18",1406,60,33,9337.52
"2012-11-10","19",1443,59,38,13596.77
"2012-11-10","20",1203,56,31,13438.47
"2012-11-10","21",738,29,22,8011.04
"2012-11-10","22",1031,48,26,6298.87
"2012-11-10","23",680,25,16,6154.55
"2012-11-11","00",537,30,12,4448.47
"2012-11-11","01",227,13,6,1338.86
"2012-11-11","02",268,12,8,3233.16
"2012-11-11","03",185,16,4,2216.99
"2012-11-11","04",470,20,15,4519.78
"2012-11-11","05",433,20,11,2676.29
"2012-11-11","06",722,29,18,7181.27
"2012-11-11","07",957,45,28,7590.38
"2012-11-11","08",1201,54,32,9632.31
"2012-11-11","09",1568,70,45,20830.06
"2012-11-11","10",1517,68,42,16107.81
"2012-11-11","11",1554,72,52,15375.57
"2012-11-11","12",1988,89,62,27062.55
"2012-11-11","13",1762,79,45,19226.21
"2012-11-11","14",1682,72,47,19499.14
"2012-11-11","15",1843,82,57,17019.43
"2012-11-11","16",1609,63,38,11995.56
"2012-11-11","17",1787,85,55,19864.12
"2012-11-11","18",2695,124,74,22963.63
"2012-11-11","19",1963,90,54,14204.66
"2012-11-11","20",1776,76,44,27470.01
"2012-11-11","21",1841,76,50,14788.95
"2012-11-11","22",1322,60,35,11625.77
"2012-11-11","23",936,40,23,10631.13
"2012-11-12","00",314,16,11,3891.3
"2012-11-12","01",339,24,8,2157.26
"2012-11-12","02",218,10,8,3406.3
"2012-11-12","03",173,8,4,728.31
"2012-11-12","04",352,19,9,2955.37
"2012-11-12","05",727,30,25,6126.11
"2012-11-12","06",1132,60,36,16855.89
"2012-11-12","07",1685,70,43,9756.12
"2012-11-12","08",2020,92,67,23367.24
"2012-11-12","09",2096,95,61,20240.94
"2012-11-12","10",2261,105,66,25585.88
"2012-11-12","11",2511,118,68,21215.29
"2012-11-12","12",2675,119,76,22624.26
"2012-11-12","13",2713,121,76,20453.17
"2012-11-12","14",2334,100,70,30900.02
"2012-11-12","15",1936,89,56,25261.65
"2012-11-12","16",2138,92,60,26815.02
"2012-11-12","17",2353,107,71,26908.13
"2012-11-12","18",2688,129,76,34963.41
"2012-11-12","19",2267,101,57,31335.22
"2012-11-12","20",2389,105,70,34671.03
"2012-11-12","21",1526,83,42,11524.67
"2012-11-12","22",1490,75,45,17170.58
"2012-11-12","23",1089,58,24,5069.5
"2012-11-13","00",524,24,17,7915.2
"2012-11-13","01",530,36,11,6210.42
"2012-11-13","02",261,15,7,2765.13
"2012-11-13","03",165,8,7,1966.82
"2012-11-13","04",225,13,9,3829.57
"2012-11-13","05",581,28,20,7447.7
"2012-11-13","06",999,45,26,5652.73
"2012-11-13","07",1466,59,44,17070.71
"2012-11-13","08",1777,72,46,19573.53
"2012-11-13","09",2648,111,79,25422.39
"2012-11-13","10",2288,119,73,25434.3
"2012-11-13","11",2342,106,70,33410.9
"2012-11-13","12",2301,109,68,25724.36
"2012-11-13","13",2045,85,52,20010.36
"2012-11-13","14",1815,84,52,19009.38
"2012-11-13","15",2135,93,59,18704.93
"2012-11-13","16",2202,98,63,24634.85
"2012-11-13","17",3276,135,91,32676.1
"2012-11-13","18",2435,119,68,16390.18
"2012-11-13","19",2450,107,59,20000.32
"2012-11-13","20",1842,95,52,15756.16
"2012-11-13","21",1538,77,47,18381.83
"2012-11-13","22",1083,55,36,10519.15
"2012-11-13","23",1176,58,30,9432.85
"2012-11-14","00",511,31,17,9007.64
"2012-11-14","01",228,13,7,2844.04
"2012-11-14","02",261,13,8,3967.92
"2012-11-14","03",241,11,8,1932.57
"2012-11-14","04",323,13,9,1632.26
"2012-11-14","05",1080,40,32,8228.29
"2012-11-14","06",970,44,28,6395.61
"2012-11-14","07",1426,60,41,9058.86
"2012-11-14","08",1815,89,54,17060.22
"2012-11-14","09",1686,74,50,13012.61
"2012-11-14","10",2345,110,67,22582.95
"2012-11-14","11",2178,98,57,21139.78
"2012-11-14","12",2475,109,64,21918.53
"2012-11-14","13",2286,97,62,19378.28
"2012-11-14","14",1754,82,57,17392.21
"2012-11-14","15",2074,97,55,16794.2
"2012-11-14","16",1793,97,51,12845.52
"2012-11-14","17",2353,115,72,25323.63
"2012-11-14","18",1996,87,62,20696.32
"2012-11-14","19",2498,101,70,21788.67
"2012-11-14","20",2176,95,62,17949.03
"2012-11-14","21",1941,84,51,17565.89
"2012-11-14","22",1389,66,40,12971.7
"2012-11-14","23",591,28,17,6712.22
"2012-11-15","00",549,23,16,5168.16
"2012-11-15","01",334,16,7,1271.86
"2012-11-15","02",240,10,6,2069.9
"2012-11-15","03",352,14,13,1993.81
"2012-11-15","04",389,14,11,2572.91
"2012-11-15","05",771,30,20,6082.12
"2012-11-15","06",792,39,25,8452.12
"2012-11-15","07",1191,50,36,16184.03
"2012-11-15","08",1821,81,60,22110.2
"2012-11-15","09",2133,96,59,21640.19
"2012-11-15","10",1935,77,59,21735.08
"2012-11-15","11",2200,99,57,19812.57
"2012-11-15","12",2269,91,64,21153.56
"2012-11-15","13",1921,80,59,18072.77
"2012-11-15","14",1953,82,50,16859.41
"2012-11-15","15",2352,104,67,26191.72
"2012-11-15","16",2491,110,64,24181.98
"2012-11-15","17",2019,93,54,15505.71
"2012-11-15","18",2488,116,75,25380.06
"2012-11-15","19",1957,100,62,20909.83
"2012-11-15","20",1955,95,56,18201.61
"2012-11-15","21",1954,98,65,17985.7
"2012-11-15","22",1272,59,40,13058.25
"2012-11-15","23",1188,50,37,15695.18
"2012-11-16","00",596,30,14,6042.71
"2012-11-16","01",342,25,8,3731.32
"2012-11-16","02",302,19,7,3082.04
"2012-11-16","03",268,12,9,3192.24
"2012-11-16","04",322,13,9,3028.36
"2012-11-16","05",771,32,22,6373.32
"2012-11-16","06",820,35,27,10517.83
"2012-11-16","07",1448,67,49,12608.78
"2012-11-16","08",1892,75,56,14942.66
"2012-11-16","09",1866,87,52,14318.83
"2012-11-16","10",1773,82,55,13406.19
"2012-11-16","11",2244,106,73,31209.15
"2012-11-16","12",2266,86,61,22751.86
"2012-11-16","13",1826,75,51,16985.61
"2012-11-16","14",1972,100,65,23486.7
"2012-11-16","15",1976,83,53,16314.15
"2012-11-16","16",1958,84,56,20570.26
"2012-11-16","17",1623,75,47,14847.07
"2012-11-16","18",1327,69,41,11211.58
"2012-11-16","19",1700,77,52,18819.02
"2012-11-16","20",1730,79,48,13600.59
"2012-11-16","21",1199,64,32,9385.5
"2012-11-16","22",679,34,21,7486.73
"2012-11-16","23",704,38,20,10699.5
"2012-11-17","00",742,37,17,6434.62
"2012-11-17","01",288,15,11,2843.46
"2012-11-17","02",242,11,10,5131.38
"2012-11-17","03",253,14,10,3798.33
"2012-11-17","04",288,12,7,1602.01
"2012-11-17","05",428,22,9,2305.16
"2012-11-17","06",1059,43,28,8801.46
"2012-11-17","07",937,40,25,12511.99
"2012-11-17","08",1377,61,41,15430.33
"2012-11-17","09",1103,45,31,11263.22
"2012-11-17","10",1514,64,42,13077.65
"2012-11-17","11",1520,76,45,13353.85
"2012-11-17","12",1659,67,43,16412.6
"2012-11-17","13",1875,87,56,17510.65
"2012-11-17","14",1347,59,42,11662.14
"2012-11-17","15",1426,59,38,18893.87
"2012-11-17","16",1204,51,33,9206.77
"2012-11-17","17",1478,64,37,13749.79
"2012-11-17","18",1575,81,42,16634.16
"2012-11-17","19",1092,48,27,6978.02
"2012-11-17","20",888,39,23,6769.5
"2012-11-17","21",1122,47,26,7689.94
"2012-11-17","22",1098,55,31,13770.35
"2012-11-17","23",728,32,18,11746.45
"2012-11-18","00",475,21,13,6143.95
"2012-11-18","01",289,13,9,1919.93
"2012-11-18","02",226,11,3,900.35
"2012-11-18","03",249,13,7,4224.4
"2012-11-18","04",293,15,9,4797.38
"2012-11-18","05",432,17,11,2131.07
"2012-11-18","06",638,28,17,7222.75
"2012-11-18","07",682,31,15,4058.86
"2012-11-18","08",1193,51,33,11359.61
"2012-11-18","09",1275,57,43,12061.51
"2012-11-18","10",1063,43,27,9578.93
"2012-11-18","11",1655,80,50,19303.02
"2012-11-18","12",1525,64,42,13438.41
"2012-11-18","13",1392,69,44,21530.05
"2012-11-18","14",1650,73,51,22085.84
"2012-11-18","15",2082,108,56,23213.87
"2012-11-18","16",1822,81,53,17539.02
"2012-11-18","17",2224,105,61,19859.93
"2012-11-18","18",2056,95,56,15354.51
"2012-11-18","19",2456,109,65,21792.53
"2012-11-18","20",1976,86,57,19231.24
"2012-11-18","21",1546,78,45,25125.62
"2012-11-18","22",1315,56,37,16622.25
"2012-11-18","23",888,44,23,13088.47
"2012-11-19","00",511,24,10,3059.2
"2012-11-19","01",271,15,7,3781.2
"2012-11-19","02",236,9,7,4739.06
"2012-11-19","03",233,11,6,2475.28
"2012-11-19","04",365,20,14,5697.58
"2012-11-19","05",707,39,21,6297.19
"2012-11-19","06",1080,42,32,11557.48
"2012-11-19","07",1369,61,49,15974.62
"2012-11-19","08",1436,65,38,14956.96
"2012-11-19","09",1627,70,48,14796.57
"2012-11-19","10",2530,111,72,21622.64
"2012-11-19","11",2291,108,70,22723.5
"2012-11-19","12",2269,123,62,20981.03
"2012-11-19","13",2298,102,60,19551.28
"2012-11-19","14",2199,93,63,22109.66
"2012-11-19","15",1842,78,56,19042.52
"2012-11-19","16",2440,103,66,32844.34
"2012-11-19","17",1450,66,42,17332.93
"2012-11-19","18",2075,85,56,23483.59
"2012-11-19","19",2216,86,58,18091.11
"2012-11-19","20",2037,94,59,20664.77
"2012-11-19","21",1922,98,59,26402.83
"2012-11-19","22",1288,55,42,14046.84
"2012-11-19","23",861,39,21,9471.83
"2012-11-20","00",649,30,15,4711.06
"2012-11-20","01",446,20,15,8531.77
"2012-11-20","02",106,6,3,748.72
"2012-11-20","03",305,17,9,2592.75
"2012-11-20","04",536,25,19,4898.67
"2012-11-20","05",751,32,20,6348.3
"2012-11-20","06",873,42,28,6582.05
"2012-11-20","07",967,43,34,9987.35
"2012-11-20","08",1776,78,60,32173.81
"2012-11-20","09",1878,78,52,19154.76
"2012-11-20","10",2155,94,59,24355.78
"2012-11-20","11",2066,85,63,26273.85
"2012-11-20","12",2123,90,56,19110.64
"2012-11-20","13",2439,103,55,20404.64
"2012-11-20","14",2534,105,60,23778.68
"2012-11-20","15",2637,118,67,23144.34
"2012-11-20","16",2277,102,66,27063.65
"2012-11-20","17",2390,102,63,24894.95
"2012-11-20","18",2129,88,59,21436.4
"2012-11-20","19",2318,99,64,22115.32
"2012-11-20","20",2050,101,61,20222.49
"2012-11-20","21",1810,83,53,17912.22
"2012-11-20","22",1384,72,40,15533.29
"2012-11-20","23",1054,59,30,14791.17
"2012-11-21","00",645,42,21,7524.63
"2012-11-21","01",311,17,17,3848.39
"2012-11-21","02",301,18,9,1619.07
"2012-11-21","03",313,18,9,5250.41
"2012-11-21","04",217,8,4,905.01
"2012-11-21","05",489,18,12,3593.98
"2012-11-21","06",1207,50,38,11518.27
"2012-11-21","07",1320,54,39,10957.94
"2012-11-21","08",1572,65,47,14082.46
"2012-11-21","09",2368,95,68,23927.93
"2012-11-21","10",2145,94,61,22705.73
"2012-11-21","11",1712,72,46,19277.19
"2012-11-21","12",2109,92,59,23874.83
"2012-11-21","13",2106,93,64,27881.91
"2012-11-21","14",2127,93,69,26709.54
"2012-11-21","15",1638,69,47,14238.56
"2012-11-21","16",2100,92,60,20819.24
"2012-11-21","17",2134,95,57,21844.94
"2012-11-21","18",1839,83,52,16917.12
"2012-11-21","19",1668,76,47,16766.06
"2012-11-21","20",1900,82,56,20873.92
"2012-11-21","21",1759,75,52,29781.23
"2012-11-21","22",1257,71,37,10212.92
"2012-11-21","23",711,34,19,7762.89
"2012-11-22","00",492,21,13,3740.11
"2012-11-22","01",402,19,12,8407.9
"2012-11-22","02",473,24,15,5035.96
"2012-11-22","03",216,12,12,3164.34
"2012-11-22","04",314,12,8,1889.04
"2012-11-22","05",469,21,15,3784.94
"2012-11-22","06",631,28,18,14814.38
"2012-11-22","07",1207,57,33,13780.26
"2012-11-22","08",1015,42,26,9957.46
"2012-11-22","09",1765,74,49,17150.09
"2012-11-22","10",1506,70,45,18897.27
"2012-11-22","11",1554,68,45,16590.13
"2012-11-22","12",1321,64,37,12687.2
"2012-11-22","13",1498,62,46,21188.47
"2012-11-22","14",1576,77,52,16354.25
"2012-11-22","15",1380,63,42,23035.35
"2012-11-22","16",1896,79,60,18173.84
"2012-11-22","17",1712,71,54,17305.28
"2012-11-22","18",1548,63,41,16297.17
"2012-11-22","19",1419,67,41,14264.69
"2012-11-22","20",1294,56,35,18713.8
"2012-11-22","21",1264,56,33,10395.96
"2012-11-22","22",897,48,25,6686.79
"2012-11-22","23",973,46,25,10534.23
"2012-11-23","00",609,28,18,4833.49
"2012-11-23","01",293,18,7,2995.33
"2012-11-23","02",239,13,8,2419.56
"2012-11-23","03",207,10,8,3462.71
"2012-11-23","04",330,14,10,2785.27
"2012-11-23","05",689,33,15,6053.53
"2012-11-23","06",678,26,22,8280.68
"2012-11-23","07",1088,45,29,6139.56
"2012-11-23","08",1479,71,48,13267.03
"2012-11-23","09",1469,62,47,15322.54
"2012-11-23","10",1601,68,45,13876.28
"2012-11-23","11",1474,63,48,20156.65
"2012-11-23","12",1516,64,46,14991.41
"2012-11-23","13",1918,84,51,17898.44
"2012-11-23","14",2028,94,56,25342.85
"2012-11-23","15",2048,87,60,21956.18
"2012-11-23","16",1260,60,37,15357.56
"2012-11-23","17",1311,56,38,14185.85
"2012-11-23","18",1766,81,41,13098.89
"2012-11-23","19",1118,47,28,7296.31
"2012-11-23","20",1447,61,39,14656.63
"2012-11-23","21",1131,50,36,12441.6
"2012-11-23","22",790,39,18,6021.36
"2012-11-23","23",495,19,12,7053.56
"2012-11-24","00",433,25,18,6958.29
"2012-11-24","01",584,23,10,2248.21
"2012-11-24","02",228,9,7,2325.44
"2012-11-24","03",171,14,4,1094.58
"2012-11-24","04",174,9,4,2765.62
"2012-11-24","05",269,12,9,2812.83
"2012-11-24","06",620,21,14,5140.11
"2012-11-24","07",1057,47,32,8230.67
"2012-11-24","08",1290,47,26,4994.05
"2012-11-24","09",1391,58,41,12281.38
"2012-11-24","10",1572,65,46,17711.28
"2012-11-24","11",1826,71,58,21437.54
"2012-11-24","12",1296,50,37,15491.62
"2012-11-24","13",1468,62,35,13805.15
"2012-11-24","14",1274,63,45,13640.94
"2012-11-24","15",1218,59,35,12989.47
"2012-11-24","16",1327,57,37,12353.6
"2012-11-24","17",1163,54,29,14115.57
"2012-11-24","18",1615,67,34,7646.57
"2012-11-24","19",1367,60,38,12960.87
"2012-11-24","20",1420,62,34,12095.13
"2012-11-24","21",1071,53,27,11632.81
"2012-11-24","22",1096,45,28,10597.32
"2012-11-24","23",625,27,14,4278.16
"2012-11-25","00",414,25,7,1460.51
"2012-11-25","01",284,13,7,3187.93
"2012-11-25","02",308,17,6,2352.3
"2012-11-25","03",125,9,3,430.59
"2012-11-25","04",296,13,7,1359.05
"2012-11-25","05",369,14,7,1741.38
"2012-11-25","06",621,22,18,5256.06
"2012-11-25","07",762,32,23,7972.81
"2012-11-25","08",1111,50,35,14456.05
"2012-11-25","09",1643,63,48,21159.27
"2012-11-25","10",1456,67,39,12218.64
"2012-11-25","11",1669,71,48,20228.6
"2012-11-25","12",1740,74,54,19046.87
"2012-11-25","13",1624,63,37,15585.2
"2012-11-25","14",1805,89,50,20381.25
"2012-11-25","15",2108,95,55,20490.96
"2012-11-25","16",1631,68,45,14366.12
"2012-11-25","17",2356,107,60,20946.63
"2012-11-25","18",2453,105,70,19704.76
"2012-11-25","19",2347,99,76,28381.97
"2012-11-25","20",1759,82,55,21873.33
"2012-11-25","21",1593,70,49,19973.81
"2012-11-25","22",1279,62,32,15640.67
"2012-11-25","23",642,38,13,4582
"2012-11-26","00",498,18,12,3917.64
"2012-11-26","01",400,28,15,7890.31
"2012-11-26","02",303,13,6,2522.88
"2012-11-26","03",162,8,4,490.06
"2012-11-26","04",185,9,3,501.29
"2012-11-26","05",662,29,20,6465.96
"2012-11-26","06",917,35,20,7333.02
"2012-11-26","07",1272,53,29,13062.52
"2012-11-26","08",2248,89,65,20214.21
"2012-11-26","09",1753,76,49,16058.25
"2012-11-26","10",2594,102,64,23626.26
"2012-11-26","11",2284,99,74,32538.18
"2012-11-26","12",1386,61,35,17222.75
"2012-11-26","13",632,29,14,3058.6
"2012-11-26","14",922,44,26,11463.86
"2012-11-26","15",883,41,21,7269.17
"2012-11-26","16",1307,62,29,11798.02
"2012-11-26","17",1149,53,29,12434.21
"2012-11-26","18",1832,86,56,17947.18
"2012-11-26","19",1984,104,58,16952.41
"2012-11-26","20",2633,107,67,26242.07
"2012-11-26","21",2063,95,55,17258.14
"2012-11-26","22",1217,54,36,11443.77
"2012-11-26","23",1019,49,27,11106.68
"2012-11-27","00",621,31,17,8616.15
"2012-11-27","01",358,14,6,5701.82
"2012-11-27","02",284,17,10,5933.81
"2012-11-27","03",250,12,8,5130.18
"2012-11-27","04",389,14,10,4144.16
"2012-11-27","05",562,24,22,12380.04
"2012-11-27","06",1134,43,33,9695.88
"2012-11-27","07",1533,63,41,14643.08
"2012-11-27","08",1738,79,47,14224.3
"2012-11-27","09",1990,79,52,19944.07
"2012-11-27","10",2230,102,73,27817.07
"2012-11-27","11",3064,124,91,54852.03
"2012-11-27","12",2122,93,58,17525.3
"2012-11-27","13",2698,129,63,24797.62
"2012-11-27","14",2408,101,65,19787.87
"2012-11-27","15",2295,102,59,23826.85
"2012-11-27","16",2122,91,54,21316.25
"2012-11-27","17",2238,98,71,25882.01
"2012-11-27","18",1840,86,56,22312.1
