"srch_id","date_time","site_id","visitor_location_country_id","visitor_hist_starrating","visitor_hist_adr_usd","prop_country_id","prop_id","prop_starrating","prop_review_score","prop_brand_bool","prop_location_score1","prop_location_score2","prop_log_historical_price","position","price_usd","promotion_flag","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","srch_query_affinity_score","orig_destination_distance","random_bool","comp1_rate","comp1_inv","comp1_rate_percent_diff","comp2_rate","comp2_inv","comp2_rate_percent_diff","comp3_rate","comp3_inv","comp3_rate_percent_diff","comp4_rate","comp4_inv","comp4_rate_percent_diff","comp5_rate","comp5_inv","comp5_rate_percent_diff","comp6_rate","comp6_inv","comp6_rate_percent_diff","comp7_rate","comp7_inv","comp7_rate_percent_diff","comp8_rate","comp8_inv","comp8_rate_percent_diff","click_bool","gross_bookings_usd","booking_bool"
"781","2013-06-07 22:33:31","12","99",NA,NA,"219","69364",5,4.5,"1",2.48,0.0117,0,"6",1153.85,"1","4138",5,55,2,2,1,"0",NA,NA,"1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"853","2013-02-08 14:32:01","19","158",NA,NA,"98","8507",4,4.5,"1",4.14,0.0765,5.45,"28",177.85,"0","4460",4,10,2,0,1,"0",NA,NA,"1",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"0"
"907","2012-12-04 08:04:17","5","100",NA,NA,"219","98382",3,4,"1",1.39,0.0101,5.13,"34",128,"0","2906",3,28,2,0,1,"0",NA,327.29,"1",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"956","2013-02-11 11:10:45","5","219",NA,NA,"219","15439",3,4,"1",2.48,1e-04,4.62,"7",89,"0","23904",5,98,2,0,1,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1020","2013-05-23 06:07:22","24","55",NA,NA,"99","87759",3,4,"1",5.02,0.1299,5.13,"17",151.61,"1","4440",3,48,2,0,1,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,11,NA,NA,NA,1,0,11,NA,NA,NA,"0",NA,"0"
"1089","2013-04-10 04:07:40","5","219",NA,NA,"219","89878",4,4,"1",2.83,0.065,5.55,"1",231,"1","18992",3,16,2,0,1,"1",-41.4222,185.92,"0",NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"1145","2013-03-12 16:33:55","14","100",NA,NA,"132","50332",3,3.5,"1",0,NA,4.41,"3",77.02,"0","24296",1,2,1,0,1,"1",NA,3276.05,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1213","2013-02-06 12:00:40","5","219",NA,NA,"219","121735",4,5,"1",3.58,0.1097,5.54,"1",319,"1","4600",4,74,4,0,4,"0",-27.4146,969.92,"0",NA,NA,NA,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1272","2012-11-17 12:17:38","24","100",NA,NA,"55","85141",4,4,"1",1.95,0.0505,5.14,"31",157.24,"0","10010",1,0,1,0,1,"1",NA,3540.51,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"0",NA,"0"
"1338","2013-05-15 15:07:45","14","100",NA,NA,"100","10815",3,4.5,"1",1.79,0.0208,4.79,"1",78.76,"1","9695",1,58,2,0,1,"1",-11.8263,NA,"1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"1415","2012-12-26 15:13:55","5","219",NA,NA,"219","96533",3,3.5,"1",2.4,NA,4.7,"18",69,"0","28010",1,5,2,0,1,"0",NA,2.68,"0",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"1484","2012-11-13 18:14:31","5","219",NA,NA,"219","713",2,3.5,"1",1.1,NA,4.49,"22",75,"0","18019",2,0,1,3,1,"0",NA,9.34,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1534","2013-02-01 19:17:17","5","219",NA,NA,"219","119620",4,4.5,"1",3.14,NA,5.05,"24",80,"0","12123",1,0,2,0,1,"1",NA,218.84,"0",NA,NA,NA,1,0,12,0,0,NA,NA,NA,NA,1,0,12,NA,NA,NA,NA,NA,NA,1,0,12,"0",NA,"0"
"1610","2013-05-16 12:06:26","5","219",NA,NA,"219","32363",3,4.5,"1",1.39,NA,5,"10",198,"0","21220",4,17,2,0,2,"0",NA,370.21,"0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1666","2013-04-29 09:43:34","5","219",NA,NA,"219","106096",2,1.5,"0",3.26,0.094,5.22,"2",164,"1","27608",3,53,2,0,1,"1",NA,355.5,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1749","2013-02-10 16:48:52","5","219",NA,NA,"219","43271",2,3,"1",4.17,0.1983,4.32,"13",48,"0","5098",3,44,2,0,1,"0",NA,175.58,"1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1808","2013-06-27 20:35:20","14","100",NA,NA,"100","103922",4,4,"0",1.39,0.0053,0,"31",110.72,"1","19898",1,3,2,0,1,"0",NA,60.36,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1868","2013-01-15 19:07:51","5","219",NA,NA,"219","136493",2,2,"0",3.33,NA,4.63,"29",89,"0","27891",3,85,2,2,1,"0",-29.7766,1183.31,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"1924","2013-01-25 15:51:23","5","219",NA,NA,"219","41438",3,4.5,"1",2.4,0.003,5.13,"32",119,"0","9402",1,1,2,2,1,"1",NA,84.09,"1",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0,45,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"1993","2013-04-15 13:22:00","5","219",NA,NA,"219","78345",2,4,"1",2.3,0.0731,4.37,"18",90,"0","13472",1,28,2,0,1,"0",NA,999.81,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2062","2012-12-28 16:34:38","5","219",NA,NA,"219","139366",4,4.5,"0",5.8,0.6034,6.01,"12",399,"0","24700",1,1,2,0,1,"1",-14.0734,89.64,"0",NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"2129","2013-05-23 08:20:46","18","129",NA,NA,"129","73278",4,4.5,"1",3.95,0.0416,5.31,"1",179.8,"0","16076",3,69,2,2,1,"0",NA,270.3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2202","2012-12-08 19:32:57","5","219",NA,NA,"219","71880",3,4.5,"1",0,0.018,5.1,"8",131,"0","22723",2,17,4,4,2,"0",NA,195.02,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"2262","2013-03-19 11:42:20","14","100",NA,NA,"219","120497",5,4.5,"0",5.34,0.0245,6.21,"6",542.46,"0","5143",6,117,2,1,1,"0",NA,2414.57,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2347","2013-04-01 08:07:31","5","219",NA,NA,"219","100770",4,4.5,"1",2.08,0.0834,5.64,"2",199,"0","4695",1,3,2,0,1,"1",NA,38.05,"0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"2399","2013-01-22 17:53:06","5","219",NA,NA,"219","109158",2,4,"1",3.09,NA,4.62,"32",80,"0","26358",1,1,1,0,1,"0",NA,51.92,"0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2467","2013-03-29 15:01:05","18","129",NA,NA,"55","71069",5,4.5,"1",5.31,0.0117,6.21,"33",317.87,"0","20453",2,1,2,0,1,"1",NA,570.59,"0",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,16,0,0,17,NA,NA,NA,NA,1,NA,"0",NA,"0"
"2525","2013-04-07 22:42:16","5","219",NA,NA,"219","60846",4,4.5,"1",4.13,0.2318,5.56,"15",334,"0","8192",2,12,3,0,1,"1",NA,235.66,"0",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"2569","2013-06-21 07:30:31","5","100",NA,NA,"219","83281",2,3.5,"1",2.08,NA,0,"20",60,"0","15687",1,39,1,0,1,"0",NA,2089.53,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2629","2013-06-23 02:35:40","24","216",NA,NA,"178","43829",5,4,"1",3.5,0.2132,0,"1",61.04,"0","23238",2,59,1,0,1,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2692","2013-01-14 14:46:47","14","100",NA,NA,"219","8483",2,4,"1",2.08,0.0635,4.1,"20",53.88,"0","5606",1,12,2,0,1,"1",NA,222.52,"1",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"2768","2013-04-15 15:35:49","14","100",NA,NA,"219","86892",2,3,"0",3.14,0.0156,4.69,"7",97.5,"1","11235",2,47,2,0,1,"1",NA,1276.81,"0",NA,NA,NA,1,0,12,1,0,12,NA,NA,NA,-1,0,21,NA,NA,NA,NA,NA,NA,-1,0,21,"0",NA,"0"
"2841","2013-03-04 17:02:25","5","219",NA,NA,"219","52812",4,4,"1",1.61,0.0012,5.22,"15",142,"0","23904",3,38,1,1,2,"1",NA,919.27,"0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2909","2013-06-16 00:19:01","12","99",NA,NA,"31","124454",3,3.5,"0",6.44,0.6518,0,"12",265.58,"0","15974",1,0,2,0,1,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"2968","2013-02-10 17:24:20","5","219",NA,NA,"219","33282",3,4.5,"1",2.89,0.1571,4.73,"27",80,"0","1600",1,56,2,1,1,"0",NA,NA,"0",NA,NA,NA,0,0,NA,1,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"3026","2013-02-08 14:00:05","5","219",NA,NA,"219","123205",3,4,"1",1.79,0.0309,4.72,"31",68,"0","26566",2,2,2,0,1,"0",NA,757.94,"0",NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"3093","2012-11-29 17:06:16","18","129",NA,NA,"129","127845",5,4,"1",2.08,0.0163,5.31,"6",114.21,"0","22417",1,255,2,0,1,"0",NA,176.31,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3165","2013-03-22 10:20:45","5","219",NA,NA,"219","104220",3,4,"1",1.61,NA,5.01,"21",102,"0","16222",1,2,2,1,1,"0",NA,188.14,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"3232","2013-03-24 14:53:11","5","219",NA,NA,"219","106919",3,3.5,"1",3.26,0.1754,4.92,"7",136,"0","27456",1,83,2,0,1,"1",NA,2001.98,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3289","2013-01-11 15:47:42","5","219",NA,NA,"219","139730",3,4.5,"1",0.69,NA,5.09,"26",140,"0","17271",2,21,2,0,1,"1",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3340","2013-05-20 10:49:03","5","127",NA,NA,"127","20640",3,1.5,"0",2.08,0.0073,5.94,"24",87,"0","19884",3,0,1,0,1,"0",NA,NA,"0",NA,NA,NA,1,0,22,NA,NA,NA,NA,NA,NA,-1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3402","2013-02-04 17:13:14","5","219",NA,NA,"32","125835",3,4,"0",3.14,0.1441,5.22,"9",124,"0","20203",1,13,1,0,1,"0",NA,4082.02,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,NA,"0",NA,"0"
"3466","2012-12-28 08:19:24","5","219",NA,NA,"219","15579",2,4.5,"1",0,NA,4.38,"20",87,"0","10055",1,1,2,0,1,"1",NA,241.51,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3529","2013-02-08 21:09:14","5","219",NA,NA,"219","89119",4,4.5,"1",3.18,0.2742,5.75,"4",251,"0","12588",3,20,2,1,1,"1",NA,1224.34,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"3596","2013-03-15 15:12:00","5","219",NA,NA,"219","16826",4,4.5,"1",2.08,0.0569,5.84,"7",219,"1","24460",1,5,2,0,1,"0",NA,863.45,"0",NA,NA,NA,1,0,3,0,0,NA,NA,NA,NA,1,0,9,NA,NA,NA,NA,NA,NA,0,0,10,"0",NA,"0"
"3684","2013-01-31 22:12:30","15","55",NA,NA,"55","69549",4,3.5,"0",4.52,0.2252,4.95,"4",214.08,"0","2194",1,23,2,0,1,"1",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3742","2013-03-03 15:44:06","5","219",NA,NA,"219","1591",3,3.5,"0",3.5,0.2671,4.78,"16",75,"1","20253",2,62,2,0,1,"1",NA,1073.39,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"3812","2013-02-16 17:16:32","24","216",NA,NA,"99","53591",3,3.5,"1",2.08,0.0323,4.89,"14",84.94,"1","27929",3,172,2,0,1,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3890","2013-02-16 18:18:30","5","219",NA,NA,"219","64688",0,5,"1",1.61,NA,5.34,"24",254,"0","8587",1,1,2,0,1,"0",NA,46.08,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"3956","2013-06-13 12:51:00","5","219",NA,NA,"219","19807",2,2.5,"0",4.2,0.4361,0,"34",95,"0","570",1,86,2,0,1,"1",NA,0.52,"1",NA,NA,NA,1,0,15,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4018","2013-06-25 10:43:33","15","55",NA,NA,"129","127545",5,4.5,"1",4.2,0.0288,0,"3",336.21,"0","27019",3,132,2,0,1,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4077","2012-12-22 14:21:50","18","129",NA,NA,"129","3639",2,0,"0",0,1e-04,4.62,"28",179.37,"0","16076",1,7,2,2,1,"1",NA,185.78,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4140","2013-06-09 11:01:31","24","216",NA,NA,"219","97432",4,4.5,"1",4.04,0.0282,0,"6",225.25,"1","7714",3,33,1,0,1,"1",NA,NA,"0",NA,NA,NA,1,0,55,1,0,53,NA,NA,NA,1,0,11,NA,NA,NA,NA,NA,NA,1,0,11,"1",777.71,"1"
"4209","2013-05-01 15:09:14","5","219",NA,NA,"219","66835",3,4.5,"1",2.64,0.0746,4.51,"7",111,"1","4828",3,65,3,1,1,"1",NA,1418.6,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4281","2012-12-08 12:37:15","5","219",NA,NA,"55","96490",5,4,"0",5.39,0.0653,6.14,"8",289,"1","25060",2,47,2,0,1,"1",NA,5421.96,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4351","2013-06-15 09:40:09","5","219",NA,NA,"219","79475",3,4,"0",5.13,0.4558,0,"7",209,"0","23396",1,65,1,1,1,"0",NA,2694.91,"0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4417","2013-01-29 12:45:22","5","219",NA,NA,"219","44301",0,1.5,"1",0,NA,3.78,"16",41,"0","15296",1,19,2,1,1,"0",NA,80.77,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,10,"0",NA,"0"
"4491","2013-04-11 13:35:36","19","158",NA,NA,"158","46421",4,0,"1",2.56,0.03,4.77,"31",132.05,"0","1353",3,74,2,0,1,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0"
"4556","2013-01-30 12:15:05","5","219",NA,NA,"219","100223",2,3.5,"1",3.26,0.2034,4.42,"2",75,"0","12819",1,1,1,0,1,"1",NA,2433.5,"0",NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,11,"1",89.58,"1"
"4618","2013-05-28 13:39:47","5","219",2.31,84.86,"219","90622",4,4.5,"1",3,0.1596,5,"8",119,"0","9297",2,0,2,0,1,"0",NA,764.78,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"4696","2012-11-01 17:54:21","14","100",NA,NA,"100","31002",4,4,"1",3.58,0.2924,5.27,"4",193.68,"0","1996",5,2,2,0,1,"0",NA,296.27,"1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,8,NA,NA,NA,NA,NA,NA,-1,0,19,"0",NA,"0"
"4762","2013-06-23 00:15:13","5","219",NA,NA,"219","38571",4,3.5,"1",1.1,0.0111,0,"13",113,"1","23246",1,0,2,0,1,"0",NA,17.85,"1",NA,NA,NA,-1,0,13,-1,0,14,NA,NA,NA,-1,0,39,NA,NA,NA,NA,NA,NA,-1,0,39,"0",NA,"0"
"4837","2013-02-12 01:37:49","5","219",NA,NA,"219","16836",2,3.5,"0",3.43,0.0743,4.67,"6",45,"0","9265",1,6,2,0,1,"0",NA,82.43,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"4906","2013-06-03 22:03:48","22","92",NA,NA,"215","22255",3,4.5,"1",4.65,0.0298,0,"3",69.81,"0","7363",1,58,2,1,1,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,"0",NA,"0"
"4968","2012-11-15 10:11:42","5","219",NA,NA,"219","69261",5,5,"1",5.97,0.4454,6.15,"25",355,"0","24700",1,38,1,2,1,"0",NA,204.72,"0",NA,NA,NA,0,0,NA,0,0,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"5041","2013-01-30 15:10:07","5","219",NA,NA,"219","117990",3,3,"1",3.61,0.1265,4.73,"6",57,"0","18547",5,25,3,2,1,"0",NA,195.86,"1",NA,NA,NA,0,0,NA,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
"5103","2013-06-19 05:19:40","14","100",NA,NA,"219","122002",3,4.5,"1",1.61,0.0014,0,"31",207.34,"0","23904",2,2,2,0,1,"1",NA,1441.53,"0",NA,NA,NA,0,0,36,0,0,36,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"0",NA,"0"
"5167","2012-11-23 23:22:48","5","219",NA,NA,"219","7071",3,4.5,"1",1.1,0.0413,5.04,"21",129,"0","24529",3,19,3,1,1,"0",NA,2254.44,"1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"0",NA,"0"
